diagBicEn28,maxArea,ellipse_similarity_ratio,noPeaks,power46,bspecEn12h8,bspecEn22h8,totalBic2h8,Class
0.336879722704896,9.0,0.823542210419278,1.0,96.1467363909606,3.01516828815967,2.77276363226504,5.54297652806543,1.0
0.637566636527142,18.0,0.741630926565898,1.0,100.0,3.97664765230352,3.37434062134472,38.2066429424124,1.0
0.601384947964285,9.0,0.830167855771576,1.0,100.0,3.15918956335019,2.87212072016236,29.977545283493,1.0
0.333297335610835,12.0,0.861245286752176,1.0,100.0,2.96309491874603,2.77461381413543,12.4380622255504,1.0
1.36508990590845,20.0,0.207920015154045,0.0,78.4110336954918,5.5052339128107,5.33187887187329,55.7316568048056,0.0
1.51091428634495,26.0,0.490257355805431,1.0,39.3453659579743,5.54715461367374,5.34694498264682,62.0922327446554,0.0
1.34290573791688,28.0,0.300114229043611,0.0,45.7757085011331,6.25581272684352,6.02257131243698,61.4339844584503,0.0
1.55636932557418,41.5,0.366708100230939,0.0,31.925849434978,5.74951454582093,5.33192979450818,196.03216804223,0.0
1.7830379142902,53.0,0.395126565065707,0.0,47.7583700151833,6.40439278538496,6.05368157363167,99.2491421825905,0.0
1.47699814132669,39.0,0.429383656416903,0.0,35.5536397900148,6.44582139435441,6.25639656384502,48.7383149711786,0.0
1.78816502101472,39.0,0.255721365023977,0.0,49.2828783842713,6.36434970411372,6.2150099836712,136.795039739107,0.0
0.809604211439637,12.0,0.817705595807737,1.0,100.0,3.55303001691475,3.09315133733362,42.6113583987997,1.0
